puma10,puma_names,,
04007,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill,,
04008,NYC-Brooklyn Community District 5--East New York & Starrett City,,
04009,NYC-Brooklyn Community District 18--Canarsie & Flatlands,,
04010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby",,
04011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",,
04012,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace,,
04013,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights,,
04014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",,
04015,NYC-Brooklyn Community District 14--Flatbush & Midwood,,
04016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",,
04017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach,,
04018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island,,
04101,NYC-Queens Community District 1--Astoria & Long Island City,,
04102,NYC-Queens Community District 3--Jackson Heights & North Corona,,
04103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone",,
04104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck",,
04105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale",,
04106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest",,
04107,NYC-Queens Community District 4--Elmhurst & South Corona,,
04108,NYC-Queens Community District 6--Forest Hills & Rego Park,,
04109,NYC-Queens Community District 2--Sunnyside & Woodside,,
04110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village",,
04111,NYC-Queens Community District 9--Richmond Hill & Woodhaven,,
04112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans",,
04113,NYC-Queens Community District 10--Howard Beach & Ozone Park,,
04114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel",,
